n 102
m 4
tmax 200
35	35	0
41	49	7
35	17	5
55	45	10
55	20	13
15	30	31
25	30	3
20	50	6
10	43	11
55	60	13
30	60	10
20	65	16
50	35	10
30	25	23
15	10	23
30	5	4
10	20	23
5	30	1
20	40	9
15	60	18
45	65	10
45	20	9
45	10	9
55	5	27
65	35	4
65	20	3
45	30	22
35	40	17
41	37	11
64	42	12
40	60	17
31	52	39
35	69	18
53	52	15
65	55	8
63	65	8
2	60	7
20	20	9
5	5	20
60	12	41
40	25	11
42	7	6
24	12	3
23	3	8
11	14	21
6	38	10
2	48	1
8	56	35
13	52	22
6	68	32
47	47	17
49	58	12
27	43	6
37	31	9
57	29	15
63	23	1
53	12	3
32	12	6
36	26	15
21	24	39
17	34	3
12	24	11
24	58	16
27	69	6
15	77	10
62	77	14
49	73	21
67	5	15
56	39	33
37	47	6
37	56	5
57	68	13
47	16	16
44	17	9
46	13	6
49	11	16
49	42	9
53	43	9
61	52	2
57	48	16
56	37	7
55	54	38
15	47	15
14	37	9
11	31	8
16	22	54
4	18	27
28	18	36
26	52	5
26	35	19
31	67	2
15	19	1
22	22	1
18	24	18
26	27	38
25	24	12
22	27	10
25	21	15
19	21	9
20	26	11
18	18	24
35	35	0
