18	60.167	44.904	77.762	53.412	91.705	72.915	26.847	91.074	42.46	41.499	55.452	63.456	108.352	57.25	53.712	51.67	88.854	73.622	88.029	72.184	64.912	37.395	45.591	56.316	64.669	47.123	79.954	50.488	89.554	54.778	12.354	23.458	91.927	33.729	22.256	38.59	16.719	67.972	48.285	87.906	29.35	64.17	46.545	21.375	47.142	90.138	55.873	78.06
55.167	7	71.68	105.316	19.356	55.915	110.631	65.559	44.625	76.5	94.427	86.968	96.44	62.677	27.001	72.74	27.687	87.154	69.022	73.283	35.124	112.791	67.958	59.663	106.206	59.706	45.475	105.008	17.173	47.423	83.413	56.441	57.575	57.786	75.533	68.709	43.766	73.058	104.738	76.271	103.517	43.817	105.308	107.528	67.326	82.405	147.087	87.14	115.87
26.904	73.68	17	98.306	80.225	82.814	88.575	59.642	96.562	39.406	60.047	70.152	44.023	107.546	55.372	40.403	57.609	68.151	51.422	105.7	95.422	55.431	74.335	30.432	49.71	36.684	52.577	109.961	68.567	81.671	24.101	20.77	35.07	94.864	54.051	36.014	30.44	47.21	53.891	19.167	65.062	54.052	65.284	43.464	33.772	79.818	82.818	38.035	83.028
67.762	109.316	85.306	14	104.993	135.628	3.851	56.344	137.953	75.259	38.271	28.173	110.496	171.986	99.318	108.687	111.486	148.279	127.353	99.046	140.894	108.452	38.533	114.85	108.089	111.769	109.756	24.236	100.603	133.779	102.669	84.852	65.5	136.899	54.622	55.383	82.67	64.18	120.228	88.027	134.083	68.169	60.055	88.371	81.872	37.657	82.839	109.579	14.16
68.412	34.356	70.225	94.993	18	64.251	100.49	51.549	61.429	73.473	72.113	93.954	111.154	82.233	22.684	83.829	52.737	97.151	69.032	48.939	50.043	123.564	70.633	62.281	107.795	84.925	65.997	98.978	35.906	50.635	78.328	54.93	72.743	57.977	76.83	82.652	46.949	62.392	109.775	99.738	112.315	50.64	115.54	99.244	69.595	72.969	143.706	109.26	105.486
85.705	49.915	80.814	149.628	63.251	8	144.835	99.027	27.231	95.255	124.737	116.705	106.907	41.37	51.89	72.641	39.371	58.551	54.18	93.575	38.37	116.886	106.265	67.722	104.596	61.42	49.351	152.513	52.489	31.9	78.591	79.313	91.595	38.258	109.359	101.861	65.451	92.595	93.97	108.96	97.017	89.727	138.407	114.042	87.243	131.57	167.507	114.644	132.329
80.915	104.631	82.575	19.851	94.49	132.835	20	66.498	148.204	57.658	39.428	39.425	112.177	157.306	88.636	106.946	120.676	152.454	126.511	103.386	128.287	103.281	53.945	97.024	108.788	112.978	121.905	22.497	99.888	141.037	105.036	81.012	80.702	147.363	42.82	49.625	88.82	47.342	121.822	92.522	124.561	76.345	65.426	92.173	64.073	31.806	77.09	102.208	16.03
25.847	55.559	59.642	56.344	55.549	98.027	52.498	3	104.199	35.623	29.716	36.783	75.245	129.479	59.06	79.393	71.674	115.332	72.809	84.644	93.471	90.275	27.741	50.307	64.187	66.515	75.692	54.184	56.389	90.227	64.922	34.19	25.891	108.731	31.975	23.425	35.471	20.627	74.011	59.626	88.597	24.362	65.657	66.954	22.123	29.795	79.386	65.555	50.311
98.074	39.625	84.562	145.953	71.429	10.231	145.204	107.199	15	118.548	116.782	124.982	107.017	38.998	67.365	87.846	52.436	72.485	64.022	86.839	42.791	115.867	102.987	74.884	112.362	78.696	50.576	137.552	54.553	17.241	101.148	92.196	102.628	29.763	124.881	102.328	63.364	108.394	120.379	103.724	109.044	78.842	131.861	127.98	97.292	127.319	172.856	106.486	153.429
23.46	79.5	41.406	75.259	72.473	107.255	65.658	37.623	103.548	17	42.241	42.68	48.758	128.252	70.707	63.551	79.257	100.484	84.732	111.889	111.407	65.218	49.477	62.662	53.894	66.031	75.096	84.608	61.93	93.444	39.453	30.583	32.111	119.185	30.128	16.461	47.226	20.355	61.245	30.399	89.062	45.843	34.347	38.622	28.411	43.487	59.68	53.26	48.079
